vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,7,False,Agglomerative,135.9828338623047,1.1443633822443264,0.48267796635627747,0.43728017527057184,-0.3070946645263327,"{0: ['high pressure', 'charge order', 'high tc', 'room temperature'], 1: ['quantum spin liquid', 'triplet superconductivity', 'zeeman field', 'spin triplet'], 2: ['charge order', 'charge density wave', 'kagome metal', 'quantum criticality'], 3: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 4: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 5: ['1t ta', 'heavy fermion', 'van der waals', 'fermi level'], 6: ['hubbard model', 'repulsive interaction', 'mott insulator', 'pair mechanism']}",64.0,45.0,168.0,152.0,168.0,597.0
tfidf,UMAP,10,10,False,KMeans,97.76477813720703,1.1069074347877497,0.5040247440338135,0.430324888516117,-0.2827364919996508,"{0: ['quantum simulator', 'quantum computer', 'quantum simulation', 'mean field'], 1: ['charge density wave', 'time reversal symmetry', 'quantum material', 'quantum state'], 2: ['triplet superconductivity', 'quantum spin liquid', 'zeeman field', 'spin triplet'], 3: ['high pressure', 'electronic structure', 'superconducting transition temperature', 'charge order'], 4: ['quantum processor', 'quantum circuit', 'nontrivial topology', 'edge burst'], 5: ['cooper pair', 'collective excitation', 'ph interaction', 'repulsive interaction'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['hubbard model', 'quantum criticality', 'heavy fermion', 'superconducting dome'], 8: ['vortex lattice', 'superconducting diode effect', 'electromagnetic field', 'type ii'], 9: ['moir bulk', 'orbital magnetism', 'moir superlattices', 'tight bind']}",26.0,206.0,101.0,166.0,101.0,600.0
tfidf,UMAP,10,9,False,Agglomerative,93.72611999511719,1.0139982422550602,0.5216081738471985,0.45134772639310977,-0.34125627294312444,"{0: ['hubbard model', 'quantum criticality', 'mott insulator', 'mean field'], 1: ['quantum simulator', 'non hermitian', 'superconducting circuit', 'quantum simulation'], 2: ['phase diagram', 'high pressure', 'electronic structure', 'high temperature superconductivity'], 3: ['vortex lattice', 'superconducting diode effect', 'electromagnetic field', 'type ii'], 4: ['moir bulk', 'orbital magnetism', 'moir superlattices', 'tight bind'], 5: ['charge density wave', 'quantum material', 'van der waals', 'charge order'], 6: ['triplet superconductivity', 'quantum spin liquid', 'zeeman field', 'charge excitation'], 7: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 8: ['time reversal symmetry', 'quantum geometry', 'reversal symmetry break', 'disorder induce']}",3.0,230.0,14.0,122.0,266.0,635.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,3,False,KMeans,148.42422485351562,1.283155457313258,0.517577052116394,0.44257824959646924,-0.3020743247782481,"{0: ['quantum simulator', 'quantum simulation', 'non hermitian', 'superconducting circuit'], 1: ['charge order', 'charge density wave', 'high pressure', 'unconventional superconductivity'], 2: ['hubbard model', 'topological superconductivity', 'critical temperature', 'quantum material']}",12.0,15.0,322.0,138.0,151.0,638.0
allenai/scibert_scivocab_uncased,UMAP,10,7,False,FCM,127.41585540771484,1.060933082388781,0.46948182582855225,0.36988097761838973,-0.2717222928559951,"{0: ['vortex lattice', 'dipole superfluids', 'charge excitation', 'collective excitation'], 1: ['majorana zero mode', 'zero energy', 'cooper pair', 'majorana quasiparticle'], 2: ['mean field', 'quantum geometry', 'ph interaction', 'real space'], 3: ['quantum material', 'high quality', 'organic conductor', 'superconducting material'], 4: ['quantum simulation', 'quantum computer', 'superconducting circuit', 'non hermitian'], 5: ['inversion symmetry', 'josephson junction', 'topological superconductivity', 'rotational symmetry'], 6: ['high pressure', '4nb1 4ta1 xnix', '4hf1 4nb1 4ta1', 'ti1 4hf1 4nb1']}",92.0,75.0,35.0,354.0,83.0,639.0
tfidf,UMAP,5,12,False,KMeans,107.82255554199219,1.0204177672767025,0.3777135908603668,0.45261412935940176,-0.25612047038299196,"{0: ['quantum simulator', 'quantum computer', 'quantum simulation', 'superconducting quantum'], 1: ['charge density wave', 'kagome metal', 'quantum material', 'inversion symmetry'], 2: ['zhang rice', 'non thermal', 'magnetic order', 'quantum phase'], 3: ['time reversal symmetry', 'heavy fermion', 'reversal symmetry break', 'disorder induce'], 4: ['vortex lattice', 'electromagnetic field', 'type ii', 'van der waals'], 5: ['high pressure', 'superconducting transition temperature', 'ambient pressure', 'critical temperature'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['quantum spin liquid', 'charge excitation', 'dark matter', 'electron spin'], 8: ['moir bulk', 'orbital magnetism', 'moir superlattices', 'tight bind'], 9: ['mean field', 'quantum criticality', 'mott insulator', 'ph interaction'], 10: ['quantum processor', 'quantum circuit', 'nontrivial topology', 'edge burst'], 11: ['zeeman field', 'triplet superconductivity', 'josephson junction', 'washboard potential']}",292.0,158.0,17.0,119.0,64.0,650.0
tfidf,UMAP,15,9,False,Agglomerative,82.06037139892578,1.1031189639362446,0.44559186697006226,0.4801830589654772,-0.23938332130581774,"{0: ['charge order', 'charge density wave', 'kagome metal', 'quantum material'], 1: ['hubbard model', 'mean field', 'quantum phase', 'quantum criticality'], 2: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 3: ['time reversal symmetry', 'heavy fermion', 'reversal symmetry break', 'disorder induce'], 4: ['quantum simulator', 'non hermitian', 'superconducting circuit', 'quantum simulation'], 5: ['high pressure', 'superconducting transition temperature', 'ambient pressure', 'electronic structure'], 6: ['triplet superconductivity', 'zeeman field', 'spin triplet', 'quantum wire'], 7: ['moir bulk', 'moir superlattices', 'orbital magnetism', 'tight bind'], 8: ['vortex lattice', 'electromagnetic field', 'washboard potential', 'vortex dynamic']}",153.0,291.0,95.0,68.0,50.0,657.0
tfidf,UMAP,5,9,False,FCM,107.87324523925781,1.02775897767583,0.3831576406955719,0.4487937315158253,-0.2616985005470889,"{0: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 1: ['quantum processor', 'quantum circuit', 'edge burst', 'nontrivial topology'], 2: ['charge order', 'charge density wave', 'kagome metal', 'quantum material'], 3: ['vortex lattice', 'superconducting diode effect', 'electromagnetic field', 'van der waals'], 4: ['triplet superconductivity', 'quantum spin liquid', 'charge excitation', 'zeeman field'], 5: ['hubbard model', 'mean field', 'quantum criticality', 'field induce'], 6: ['quantum simulator', 'quantum computer', 'quantum simulation', 'superconducting quantum'], 7: ['high pressure', 'superconducting transition temperature', 'ambient pressure', 'electron phonon couple'], 8: ['moir bulk', 'moir superlattices', 'orbital magnetism', 'tight bind']}",285.0,156.0,22.0,124.0,72.0,659.0
allenai/scibert_scivocab_uncased,UMAP,10,8,False,KMeans,122.39379119873047,1.0714788752025886,0.4605729877948761,0.4088587515294112,-0.30877584046235745,"{0: ['quantum simulator', 'quantum simulation', 'quantum computer', 'superconducting circuit'], 1: ['majorana zero mode', 'zero energy', 'majorana fermion', 'quantum criticality'], 2: ['hubbard model', 'spin triplet', 'non abelian quantum', 'long range'], 3: ['charge excitation', 'spin nematic', 'sarma state', 'non equilibrium'], 4: ['quantum geometry', 'dipole superfluids', 'ph interaction', 'real space'], 5: ['electronic structure', 'ambient pressure', 'high pressure', '4hf1 4nb1 4ta1'], 6: ['inversion symmetry', 'josephson junction', 'superconducting state', 'topological superconductivity'], 7: ['quantum material', 'high quality', 'topological quantum', 'organic conductor']}",117.0,94.0,49.0,231.0,172.0,663.0
tfidf,UMAP,15,12,False,FCM,88.98165893554688,1.117180134761613,0.46995028853416443,0.4763129377453717,-0.29990386872531055,"{0: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 1: ['quantum circuit', 'edge burst', 'nontrivial topology', 'non abelian'], 2: ['charge excitation', 'cooper pair', 'quantum phase', 'non thermal'], 3: ['moir bulk', 'moir superlattices', 'orbital magnetism', 'tight bind'], 4: ['triplet superconductivity', 'zeeman field', 'spin triplet', 'magnetic order'], 5: ['time reversal symmetry', 'quantum geometry', 'reversal symmetry break', 'disorder induce'], 6: ['quantum simulator', 'quantum computer', 'quantum simulation', 'superconducting quantum'], 7: ['electron phonon', 'heavy fermion', 'ph interaction', 'organic conductor'], 8: ['ambient pressure', 'superconducting property', 'pressure range', 'hydrostatic pressure'], 9: ['quantum criticality', 'repulsive interaction', 'non fermi liquid', 'high temperature superconductivity'], 10: ['charge density wave', 'kagome metal', 'inversion symmetry', 'rotational symmetry'], 11: ['van der waals', 'vortex lattice', 'electromagnetic field', 'type ii']}",90.0,255.0,116.0,71.0,137.0,669.0
